id,order_nr,name,is_deleted,deal_probability,pipeline_id,is_deal_rot_enabled,days_to_rotten,add_time,update_time
53,1,Backlog,FALSE,100,7,FALSE,,2021-07-13 17:54:10.000 UTC,2023-08-01 12:08:52.000 UTC
63,4,Entrevista,FALSE,100,13,TRUE,5,2021-10-08 13:16:09.000 UTC,2025-04-23 20:24:05.000 UTC
64,7,Reunião Operacional,FALSE,100,13,TRUE,5,2021-10-08 13:16:09.000 UTC,2025-08-20 18:39:40.000 UTC
65,6,Análise da COF e Due Diligence,FALSE,100,13,TRUE,10,2021-10-08 13:16:09.000 UTC,2025-08-20 18:39:40.000 UTC
66,8,Assinatura,FALSE,100,13,TRUE,3,2021-10-08 13:16:09.000 UTC,2025-08-20 18:39:40.000 UTC
70,1,Lead in,FALSE,100,14,TRUE,1,2022-03-29 18:24:54.000 UTC,2025-10-02 18:27:21.000 UTC
71,2,Contatados,FALSE,100,14,TRUE,1,2022-03-29 18:24:54.000 UTC,2025-10-02 18:27:21.000 UTC
72,3,Qualificação,FALSE,100,14,TRUE,1,2022-03-29 18:24:54.000 UTC,2025-10-02 18:27:21.000 UTC
73,6,Agendado,FALSE,100,14,TRUE,3,2022-03-29 18:24:54.000 UTC,2025-10-02 18:27:21.000 UTC
74,9,FUP,FALSE,100,14,TRUE,2,2022-03-29 18:24:54.000 UTC,2025-01-20 14:15:53.000 UTC
75,10,Negociação,FALSE,100,14,TRUE,1,2022-03-29 18:24:54.000 UTC,2025-01-20 14:15:53.000 UTC
76,12,Contrato,FALSE,100,14,TRUE,1,2022-03-29 18:24:54.000 UTC,2025-01-20 14:15:53.000 UTC
78,8,Aguardando dados,FALSE,100,7,FALSE,,2022-08-16 20:01:23.000 UTC,2024-12-20 16:00:23.000 UTC
79,11,Parceiro Cadastrado,FALSE,100,7,FALSE,,2022-08-16 20:01:23.000 UTC,2025-07-21 12:28:59.000 UTC
81,2,1º Contato,FALSE,100,13,TRUE,3,2022-10-12 14:06:30.000 UTC,2025-04-23 20:47:42.000 UTC
125,1,Backlog,FALSE,100,13,FALSE,,2022-10-17 12:14:44.000 UTC,2023-08-07 20:50:26.000 UTC
151,8,Reunião Realizada,FALSE,100,14,TRUE,2,2022-12-30 13:46:54.000 UTC,2024-11-12 19:25:48.000 UTC
152,11,Aguardando Dados,FALSE,100,14,TRUE,1,2022-12-30 13:46:54.000 UTC,2025-01-20 14:15:53.000 UTC
184,2,Lead in,FALSE,5,28,TRUE,2,2023-03-13 14:35:17.000 UTC,2025-07-30 11:14:41.000 UTC
186,3,Contatados,FALSE,10,28,TRUE,1,2023-03-13 14:35:17.000 UTC,2025-07-30 11:14:41.000 UTC
187,7,Agendado,FALSE,15,28,FALSE,2,2023-03-13 14:35:17.000 UTC,2025-07-30 11:14:41.000 UTC
191,13,Reservas,FALSE,80,28,TRUE,2,2023-03-13 14:35:17.000 UTC,2025-07-30 11:14:41.000 UTC
192,14,Contrato,FALSE,90,28,TRUE,2,2023-03-13 14:35:17.000 UTC,2025-07-30 11:14:41.000 UTC
208,9,Reunião Realizada/OPP,FALSE,30,28,FALSE,2,2023-05-23 21:20:08.000 UTC,2025-07-30 11:14:41.000 UTC
210,1,Lead Novo,FALSE,100,31,TRUE,4,2023-06-26 18:50:58.000 UTC,2025-02-20 18:18:26.000 UTC
217,5,Reunião agendada,FALSE,100,7,FALSE,,2023-07-04 18:23:04.000 UTC,2024-12-20 16:00:23.000 UTC
224,3,Qualificação,FALSE,100,13,TRUE,3,2023-07-26 18:23:20.000 UTC,2025-04-23 20:24:05.000 UTC
258,6,No show,FALSE,100,7,FALSE,,2024-01-19 02:35:30.000 UTC,2025-03-27 18:12:01.000 UTC
266,3,Qualificação,FALSE,100,31,TRUE,6,2024-01-22 18:06:33.000 UTC,2025-09-24 18:40:29.000 UTC
267,5,Reunião Agendada,FALSE,0,31,FALSE,3,2024-01-22 18:06:33.000 UTC,2025-09-24 18:40:29.000 UTC
271,13,Contrato,FALSE,100,37,FALSE,,2024-03-11 12:38:43.000 UTC,2025-07-31 20:27:28.000 UTC
